,lat,lng,z_score_lat,z_score_lng
130,28.52021,77.09731,0.016656268444430786,-0.14767451379494023
131,28.51961,77.09691,0.0029502592671797594,-0.16263515108219598
132,28.51901,77.09653,-0.010755749910071265,-0.17684775650484977
133,28.51833,77.09605,-0.026289226977719814,-0.19480052124945038
134,28.51775,77.09564,-0.03953836918241204,-0.21013517446900712
135,28.51703,77.09519,-0.05598558019517819,-0.2269658914172363
136,28.51626,77.0947,-0.07357495863934135,-0.24529267209413788
137,28.51573,77.09428,-0.08568193341255541,-0.2610013412459956
138,28.51481,77.09371,-0.1066978141510719,-0.282320249380242
139,28.51335,77.09301,-0.14004910314916302,-0.30850136463280675
140,28.51256,77.09295,-0.158095348565885,-0.3107454602260811
141,28.51164,77.09306,-0.1791112293044015,-0.30663128497236486
142,28.51015,77.09373,-0.2131478187613308,-0.2815722175161716
143,28.50938,77.09421,-0.23073719720549396,-0.2636194527710395
144,28.50843,77.09471,-0.25243837840284866,-0.24491865616183692
145,28.50771,77.09501,-0.2688855894156148,-0.23369817819652797
146,28.50646,77.09511,-0.29743977520159504,-0.22995801887458114
147,28.50415,77.09398,-0.35020791053416567,-0.27222181921130456
148,28.50343,77.09338,-0.3666551215468507,-0.2946627751424539
149,28.50281,77.09286,-0.3808179976967417,-0.314111603615727
150,28.50201,77.09226,-0.39909267659982417,-0.33655255954687635
151,28.50135,77.09165,-0.4141692866948328,-0.3593675314097952
152,28.50063,77.09103,-0.43061649770751775,-0.3825565192050151
153,28.48851,77.07948,-0.7074778830886215,-0.8145449208755217
154,28.48766,77.0787,-0.7268947294231011,-0.8437181635859627
155,28.48701,77.07809,-0.7417429060318302,-0.8665331354488816
156,28.48378,77.07506,-0.8155269221029173,-0.9798599629004685
157,28.48166,77.073,-0.8639548211959359,-1.0569072449300216
158,28.47868,77.07008,-0.9320280001097946,-1.1661198971268292
159,28.47818,77.06946,-0.9434496744242515,-1.189308884922049
160,28.47741,77.06853,-0.9610390528684147,-1.2240923666154104
161,28.47473,77.06506,-1.0222592271935667,-1.353875895082394
162,28.47425,77.06438,-1.0332240345353838,-1.3793089784708883
163,28.47353,77.06355,-1.0496712455481498,-1.410352300841771
164,28.47303,77.06305,-1.0610929198625259,-1.4290530974509736
165,28.47206,77.06193,-1.0832509680325204,-1.4709428818553962
166,28.4716,77.06146,-1.0937589084017787,-1.4885216306682272
167,28.47131,77.06105,-1.1003834795041247,-1.503856283887784
168,28.47096,77.0606,-1.1083786515241474,-1.5206870008360132
169,28.47066,77.06021,-1.115231656112854,-1.535273622190968
170,28.47021,77.0597,-1.1255111629957517,-1.55434843473194
171,28.46966,77.05908,-1.1380750047416057,-1.5775374225276915
172,28.4692,77.05853,-1.148582945110864,-1.5981082987973358
173,28.46871,77.05813,-1.1597761859389604,-1.6130689360845916
174,28.46831,77.05821,-1.1689135253905423,-1.6100768086272468
175,28.46789,77.05896,-1.1785077318146018,-1.5820256137137085
176,28.46535,77.06241,-1.2365298373317608,-1.4529901171107955
177,28.46481,77.0631,-1.2488652455913356,-1.4271830177900002
178,28.46436,77.06361,-1.2591447524743145,-1.4081082052490284
179,28.46318,77.06505,-1.2860999038562575,-1.3542499110146948
180,28.4629,77.06543,-1.2924960414723243,-1.3400373055915096
181,28.4626,77.06581,-1.299349046061031,-1.325824700168856
182,28.4624,77.06606,-1.3039177157867814,-1.3164743018645204
183,28.46231,77.06618,-1.3059736171633771,-1.3119861106779716
184,28.46228,77.06623,-1.3066589176222152,-1.3101160310169981
185,28.46226,77.06624,-1.307115784594774,-1.3097420150852286
186,28.46218,77.06633,-1.3089432524850904,-1.306375871695583
187,28.462,77.0666,-1.313055055238282,-1.2962774415266454
188,28.46165,77.06713,-1.3210502272583857,-1.2764545971205399
189,28.46148,77.0674,-1.3249335965252167,-1.2663561669516024
190,28.46031,77.06883,-1.3516603144209616,-1.21287188864957
191,28.45593,77.0699,-1.4517141814151537,-1.172852183906121
192,28.45558,77.06961,-1.4597093534351764,-1.1836986459396603
193,28.4555,77.06943,-1.4615368213254927,-1.190430932718952
194,28.45541,77.06934,-1.4635927227020884,-1.1937970761085979
195,28.45536,77.0693,-1.4647348901335666,-1.1952931398372704
196,28.4552,77.06911,-1.4683898259141182,-1.2023994425488629
197,28.45498,77.06891,-1.4734153626125086,-1.2098797611922252
198,28.4547,77.0687,-1.4798115002285752,-1.2177340957678882
199,28.45433,77.06833,-1.4882635392212378,-1.2315726852587725
200,28.45395,77.06793,-1.4969440117001795,-1.2465333225460282
201,28.45349,77.0675,-1.5074519520694378,-1.2626160076301869
202,28.45281,77.06683,-1.5229854291370053,-1.2876750750863801
203,28.45268,77.06671,-1.5259550644587185,-1.2921632662723974
204,28.45268,77.06671,-1.5259550644587185,-1.2921632662723974
205,28.45268,77.06671,-1.5259550644587185,-1.2921632662723974
206,28.45268,77.06671,-1.5259550644587185,-1.2921632662723974
207,28.45266,77.06671,-1.5264119314312774,-1.2921632662723974
208,28.45256,77.0666,-1.5286962662942338,-1.2962774415266454
209,28.45238,77.06643,-1.5328080690473442,-1.302635712373636
210,28.45215,77.06618,-1.538062039232014,-1.3119861106779716
211,28.45185,77.06588,-1.5449150438206394,-1.3232065886432804
212,28.45156,77.0656,-1.5515396149229854,-1.3336790347445189
213,28.45128,77.06533,-1.5579357525390523,-1.3437774649134564
214,28.45098,77.06506,-1.5647887571276777,-1.353875895082394
215,28.45058,77.0647,-1.5739260965792596,-1.3673404686409774
216,28.45021,77.06436,-1.582378135571922,-1.38005701033549
217,28.45021,77.06435,-1.582378135571922,-1.3804310262672597
218,28.45018,77.06431,-1.5830634360307603,-1.381927089995932
219,28.44981,77.06399,-1.5915154750234226,-1.3938955998258429
220,28.44434,77.05873,-1.7164685920229623,-1.5906279801539738
221,28.44441,77.05748,-1.7148695576189255,-1.6373799716767143
222,28.44441,77.05748,-1.7148695576189255,-1.6373799716767143
223,28.44441,77.05748,-1.7148695576189255,-1.6373799716767143
